scene_id,sp_id,spatial_config,ttc_risk,spatial_agree,ttc_agree
Scene_scene_0061_013,SP_scene_0061_013_e47846a67cf5,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_af914274ab22,RightPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_da901503ef16,,,,
Scene_scene_0061_013,SP_scene_0061_013_783e8a36b83e,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_cfbf90ff60b3,LeftFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_a9ab6107abf1,LeftFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_08d3452af0e8,,,,
Scene_scene_0061_013,SP_scene_0061_013_d3a938a48e80,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_f1564f8d3335,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_2fa2495f0ec3,Preceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_419f2e209ec0,,,,
Scene_scene_0061_013,SP_scene_0061_013_39d7d4f32fca,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_53d04cffd35b,LeftPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_dc1da999e06a,,,,
Scene_scene_0061_013,SP_scene_0061_013_1c5356f014c9,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_2ec74f1a7c20,RightPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_1abb4887afe7,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_61826acd1e7e,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_14c38d78a035,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_2ee9c81d47a2,LeftPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_fd993c189d1e,,,,
Scene_scene_0061_013,SP_scene_0061_013_e21ac661ea9a,LeftPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_e034b1322006,,Low,,
Scene_scene_0061_013,SP_scene_0061_013_740a9bcdbe30,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_87659b488378,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_bcca8fda1e2b,LeftPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_243d55d5d952,RightPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_01ed64e2c0dd,LeftPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_624b5e4f835f,LeftPreceding,,,
Scene_scene_0061_013,SP_scene_0061_013_6a58fc9959e6,RightPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_6c391d894d28,LeftPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_3290c9feffcc,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_5ffa2bf3f210,RightPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_fc59bb41b774,Preceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_784ff00d9b3d,RightFollowing,,,
Scene_scene_0061_013,SP_scene_0061_013_0c510d227720,,Low,,
Scene_scene_0061_013,SP_scene_0061_013_b180c73daa1f,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_39a431c3c508,,,,
Scene_scene_0061_013,SP_scene_0061_013_7d1e9c89197c,RightPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_477d62edbb7c,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_7d67d26af28d,LeftPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_180558f263a0,,Low,,
Scene_scene_0061_013,SP_scene_0061_013_bb56cda1cce5,RightPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_47aeb030682b,LeftPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_53808f599339,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_bb07254f8f45,LeftPreceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_ce3215349918,RightPreceding,,,
Scene_scene_0061_013,SP_scene_0061_013_ade706795a62,Preceding,,,
Scene_scene_0061_013,SP_scene_0061_013_a73577bbdcfe,Preceding,Medium,,
Scene_scene_0061_013,SP_scene_0061_013_ec366b341c11,RightPreceding,Low,,
Scene_scene_0061_013,SP_scene_0061_013_1c0a430db35f,LeftPreceding,Low,,
Scene_scene_1100_016,SP_scene_1100_016_541a7a65ec00,LeftFollowing,,,
Scene_scene_1100_016,SP_scene_1100_016_a804db6fe9c2,Following,Low,,
Scene_scene_1100_016,SP_scene_1100_016_378fb858beb4,RightPreceding,High,,
Scene_scene_1100_016,SP_scene_1100_016_7359c80dab2f,,,,
Scene_scene_1100_016,SP_scene_1100_016_01f47ef1cbd0,LeftFollowing,,,
Scene_scene_1100_016,SP_scene_1100_016_651025150bdc,RightPreceding,,,
Scene_scene_1100_016,SP_scene_1100_016_f4c11233de34,RightAlongside,,,
Scene_scene_1100_016,SP_scene_1100_016_68a8bf946d3e,LeftFollowing,,,
Scene_scene_1100_016,SP_scene_1100_016_1c53781f92e0,,,,
Scene_scene_1100_016,SP_scene_1100_016_45e15aab5ac8,RightPreceding,,,
Scene_scene_1100_016,SP_scene_1100_016_a6a655978ada,RightPreceding,Low,,
Scene_scene_1100_016,SP_scene_1100_016_420c7fb99649,Following,Low,,
Scene_scene_1100_016,SP_scene_1100_016_c93943d3a180,RightFollowing,,,
Scene_scene_1100_016,SP_scene_1100_016_d9987d64d355,RightPreceding,Low,,
Scene_scene_1100_016,SP_scene_1100_016_a90302944c19,LeftPreceding,Medium,,
Scene_scene_1100_016,SP_scene_1100_016_9a73e105c3c4,RightFollowing,,,
Scene_scene_1100_016,SP_scene_1100_016_f57669d7a8b4,Following,,,
Scene_scene_1100_016,SP_scene_1100_016_6a768808246d,RightPreceding,,,
Scene_scene_1100_016,SP_scene_1100_016_884b54b757ac,LeftPreceding,Low,,
Scene_scene_1100_016,SP_scene_1100_016_463324be8536,RightPreceding,,,
Scene_scene_1100_016,SP_scene_1100_016_402c70770e3b,LeftFollowing,,,
Scene_scene_1100_016,SP_scene_1100_016_98c29acb8087,,,,
Scene_scene_1100_016,SP_scene_1100_016_24e0072aa659,LeftFollowing,Low,,
Scene_scene_1100_016,SP_scene_1100_016_31b871a455d1,LeftFollowing,,,
Scene_scene_0655_021,SP_scene_0655_021_8cb4f0a7976a,,,,
Scene_scene_0655_021,SP_scene_0655_021_bdbe9e591194,LeftFollowing,,,
Scene_scene_0655_021,SP_scene_0655_021_b8e39bd337dd,LeftFollowing,,,
Scene_scene_0655_021,SP_scene_0655_021_a2020742cebf,LeftPreceding,High,,
Scene_scene_0655_021,SP_scene_0655_021_945a9b16ed0d,LeftFollowing,,,
Scene_scene_0655_021,SP_scene_0655_021_84d1b1b8ba7b,,,,
Scene_scene_0655_021,SP_scene_0655_021_38ad64933993,LeftFollowing,,,
Scene_scene_0655_021,SP_scene_0655_021_1607e0a9e8c9,,Low,,
Scene_scene_0655_021,SP_scene_0655_021_9b74d1dce446,RightFollowing,,,
Scene_scene_0655_021,SP_scene_0655_021_c380d153de92,LeftFollowing,,,
Scene_scene_0655_021,SP_scene_0655_021_264f79193637,RightPreceding,Medium,,
Scene_scene_0655_021,SP_scene_0655_021_76c022434b0f,,,,
Scene_scene_0655_021,SP_scene_0655_021_78188543c3cb,RightFollowing,,,
Scene_scene_0655_021,SP_scene_0655_021_384c651f2356,RightFollowing,,,
Scene_scene_0655_021,SP_scene_0655_021_d392a64e7c72,RightPreceding,Medium,,
Scene_scene_0655_021,SP_scene_0655_021_b12a8dbaa641,,,,
Scene_scene_0655_021,SP_scene_0655_021_758797c8acff,RightPreceding,Medium,,
Scene_scene_0655_021,SP_scene_0655_021_089896b5f669,LeftFollowing,,,
Scene_scene_0655_021,SP_scene_0655_021_34fb79f40bc6,Following,,,
Scene_scene_0655_021,SP_scene_0655_021_fe439a695a02,RightPreceding,,,
Scene_scene_0655_021,SP_scene_0655_021_b16a832f09d6,LeftFollowing,,,
Scene_scene_0655_021,SP_scene_0655_021_8e7e78817a87,RightPreceding,Low,,
Scene_scene_0655_021,SP_scene_0655_021_a69cc2664c78,RightPreceding,Medium,,
Scene_scene_0655_021,SP_scene_0655_021_74b4d7526fac,RightFollowing,,,
Scene_scene_0655_021,SP_scene_0655_021_166553ede088,RightPreceding,Medium,,
Scene_scene_0655_021,SP_scene_0655_021_b66521daf190,,,,
Scene_scene_0655_021,SP_scene_0655_021_ad82429bd155,,Low,,
Scene_scene_0655_021,SP_scene_0655_021_a97a5c43350d,RightFollowing,,,
Scene_scene_0655_021,SP_scene_0655_021_cb18de9860b5,RightFollowing,,,
Scene_scene_0655_021,SP_scene_0655_021_773234862ba0,LeftPreceding,,,
Scene_scene_0655_021,SP_scene_0655_021_a77e08f47b57,RightFollowing,,,
Scene_scene_0655_021,SP_scene_0655_021_3658a3058c3a,,,,
Scene_scene_0655_021,SP_scene_0655_021_616eb95a3643,,Low,,
Scene_scene_0655_021,SP_scene_0655_021_d8adbb05e30b,,,,
Scene_scene_0655_021,SP_scene_0655_021_e5249b30e163,RightFollowing,,,
Scene_scene_0655_021,SP_scene_0655_021_0e341129ba70,RightFollowing,,,
Scene_scene_0655_021,SP_scene_0655_021_d20b859a2c4c,RightPreceding,Low,,
Scene_scene_0655_021,SP_scene_0655_021_451d31de8c5b,,,,
Scene_scene_0655_021,SP_scene_0655_021_f1e3e3acd590,,,,
Scene_scene_0655_021,SP_scene_0655_021_8a1db0af2108,LeftFollowing,,,
Scene_scene_0655_021,SP_scene_0655_021_9541562e4dd3,RightPreceding,Low,,
Scene_scene_0655_021,SP_scene_0655_021_6df475a7022a,LeftAlongside,High,,
Scene_scene_0655_021,SP_scene_0655_021_56d5e7541deb,RightPreceding,Medium,,
Scene_scene_0655_021,SP_scene_0655_021_d07510b01aed,,,,
Scene_scene_0655_021,SP_scene_0655_021_efc7204aa160,LeftPreceding,High,,
Scene_scene_0655_021,SP_scene_0655_021_fe57529a7414,,Low,,
Scene_scene_0655_021,SP_scene_0655_021_3a8384cbde7b,RightPreceding,Medium,,
Scene_scene_0655_021,SP_scene_0655_021_bb2ac4f24231,RightFollowing,,,
Scene_scene_0655_021,SP_scene_0655_021_3ef013b58de3,RightFollowing,,,
Scene_scene_0655_021,SP_scene_0655_021_fb41204bec48,LeftFollowing,,,
Scene_scene_0655_021,SP_scene_0655_021_098a5f95aa8a,RightPreceding,High,,
Scene_scene_0655_021,SP_scene_0655_021_c621c6db9b66,,,,
Scene_scene_0655_021,SP_scene_0655_021_8945ccf2b302,,Medium,,
Scene_scene_0655_021,SP_scene_0655_021_806d3d6f3513,RightFollowing,,,
Scene_scene_0655_021,SP_scene_0655_021_567a6fb22fb4,RightFollowing,,,
Scene_scene_0655_021,SP_scene_0655_021_40a47e6a29a8,RightFollowing,,,
